KYTREASNOX,MCALDT,TMYTM
2000001,1936-06-30,1.5209926038142E-01
2000001,1936-07-31,1.5212859941995E-01
2000001,1936-08-31,1.0136472240604E-01
2000001,1936-09-30,1.8252555477030E-01
2000001,1936-10-31,1.0140062117598E-01
2000001,1936-11-30,1.0139324172169E-01
2000001,1936-12-31,1.6222938733508E-01
2000001,1937-01-30,2.2312958283409E-01
2000001,1937-02-27,2.2308838137032E-01
2000001,1937-03-31,5.0710827533397E-01
2000001,1937-04-30,6.0859201703213E-01
2000001,1937-05-28,3.0416424265925E-01
2000001,1937-06-30,3.3469613176476E-01
2000001,1937-07-31,3.0426807899515E-01
2000001,1937-08-31,4.0556568768269E-01
2000001,1937-09-30,2.0280886178246E-01
2000001,1937-10-30,2.2315088960010E-01
2000001,1937-11-30,5.0746408828389E-02
2000001,1937-12-31,4.0587638625774E-02
2000001,1938-01-31,6.0889606956329E-02
2000001,1938-02-28,3.0447464308655E-02
2000001,1938-03-31,5.0698623601351E-02
2000001,1938-04-30,-6.8834641685676E-02
2000001,1938-05-31,-5.8940717312766E-02
2000001,1938-06-30,-5.3481903071029E-02
2000001,1938-07-30,4.0555642857416E-02
2000001,1938-08-31,3.0394514354909E-02
2000001,1938-09-30,3.0378371718515E-02
2000001,1938-10-31,-7.4816616266250E-02
2000001,1938-11-30,-6.1182633796483E-02
2000001,1938-12-31,-1.5289053399091E-01
2000001,1939-01-31,-6.3969301394146E-02
2000001,1939-02-28,-1.4317127980269E-01
2000001,1939-03-31,-4.0082910065687E-02
2000001,1939-04-29,1.5227445393450E-02
2000001,1939-05-31,-3.6921703540229E-02
2000001,1939-06-30,-7.1216949619069E-02
2000001,1939-07-31,-6.9706919756745E-02
2000001,1939-08-31,2.5389270817429E-02
2000001,1939-09-30,2.5322156076988E-02
2000001,1939-10-31,2.5372886923879E-02
2000001,1939-11-30,-5.8559432217797E-02
2000001,1939-12-30,-6.8834641685676E-02
2000001,1940-01-31,-6.1182633796483E-02
2000001,1940-02-29,-1.6772586734617E-01
2000001,1940-03-30,-1.6803020090444E-01
2000001,1940-04-30,-1.4827547669384E-01
2000001,1940-05-31,5.0719571972585E-02
2000001,1940-06-29,4.0555642857416E-02
2000001,1940-07-31,-6.1182633796483E-02
2000001,1940-08-31,-1.5793711195655E-01
2000001,1940-09-30,-1.6985914240911E-01
2000001,1940-10-31,-6.3556427413096E-02
2000001,1940-11-30,-1.6268402013883E-01
2000001,1940-12-31,-1.4827547669384E-01
2000001,1941-01-31,-7.6282369432799E-02
2000001,1941-02-28,4.0587638625774E-02
2000001,1941-03-31,-5.6819985221879E-02
2000001,1941-04-30,5.0684088776334E-02
2000001,1941-05-31,5.0736128379774E-02
2000001,1941-06-30,5.0681305572192E-02
2000001,1941-07-31,8.1086738749804E-02
2000001,1941-08-30,9.1293575264397E-02
